State,Year,Unemployment_Rate_Rank,Unemployment_Rate_Value
Alaska,2018,50.0,7.7
Alabama,2018,25.0,4.3
United States,2018,0.0,4.4
Arkansas,2018,16.0,3.7
Arizona,2018,35.0,4.7
California,2018,38.0,4.8
Colorado,2018,5.0,2.9
Connecticut,2018,41.0,4.9
District of Columbia,2018,0.0,6.2
Delaware,2018,38.0,4.8
Florida,2018,22.0,4.1
Georgia,2018,35.0,4.7
Hawaii,2018,1.0,2.4
Iowa,2018,7.0,3.2
Idaho,2018,7.0,3.2
Illinois,2018,41.0,4.9
Indiana,2018,13.0,3.6
Kansas,2018,13.0,3.6
Kentucky,2018,47.0,5.2
Louisiana,2018,45.0,5.1
Massachusetts,2018,20.0,3.9
Maryland,2018,24.0,4.2
Maine,2018,10.0,3.3
Michigan,2018,35.0,4.7
Minnesota,2018,11.0,3.4
Missouri,2018,19.0,3.8
Mississippi,2018,45.0,5.1
Montana,2018,21.0,4.0
North Carolina,2018,31.0,4.5
North Dakota,2018,2.0,2.6
Nebraska,2018,3.0,2.8
New Hampshire,2018,3.0,2.8
New Jersey,2018,32.0,4.6
New Mexico,2018,49.0,6.1
Nevada,2018,43.0,5.0
New York,2018,32.0,4.6
Ohio,2018,43.0,5.0
Oklahoma,2018,28.0,4.4
Oregon,2018,22.0,4.1
Pennsylvania,2018,38.0,4.8
Rhode Island,2018,28.0,4.4
South Carolina,2018,28.0,4.4
South Dakota,2018,13.0,3.6
Tennessee,2018,16.0,3.7
Texas,2018,25.0,4.3
Utah,2018,11.0,3.4
Virginia,2018,16.0,3.7
Vermont,2018,6.0,3.1
Washington,2018,32.0,4.6
Wisconsin,2018,7.0,3.2
West Virginia,2018,47.0,5.2
Wyoming,2018,25.0,4.3
