State,Year,Premature_Death_Rank,Premature_Death_Value
Alabama,2019,48.0,10435.0
Alaska,2019,37.0,8513.0
Arizona,2019,24.0,7467.0
Arkansas,2019,46.0,10210.0
California,2019,1.0,5665.0
Colorado,2019,8.0,6288.0
Connecticut,2019,4.0,6091.0
Delaware,2019,35.0,8268.0
Florida,2019,29.0,7739.0
Georgia,2019,34.0,8243.0
Hawaii,2019,7.0,6245.0
Idaho,2019,15.0,6669.0
Illinois,2019,21.0,7158.0
Indiana,2019,39.0,8995.0
Iowa,2019,16.0,6733.0
Kansas,2019,26.0,7608.0
Kentucky,2019,47.0,10400.0
Louisiana,2019,45.0,10169.0
Maine,2019,25.0,7575.0
Maryland,2019,28.0,7689.0
Massachusetts,2019,6.0,6130.0
Michigan,2019,32.0,8111.0
Minnesota,2019,2.0,5683.0
Mississippi,2019,49.0,11043.0
Missouri,2019,38.0,8828.0
Montana,2019,27.0,7660.0
Nebraska,2019,11.0,6555.0
Nevada,2019,30.0,7785.0
New Hampshire,2019,17.0,6770.0
New Jersey,2019,9.0,6329.0
New Mexico,2019,40.0,9135.0
New York,2019,3.0,5830.0
North Carolina,2019,36.0,8276.0
North Dakota,2019,19.0,6914.0
Ohio,2019,42.0,9399.0
Oklahoma,2019,44.0,9945.0
Oregon,2019,12.0,6561.0
Pennsylvania,2019,33.0,8186.0
Rhode Island,2019,13.0,6602.0
South Carolina,2019,41.0,9255.0
South Dakota,2019,31.0,7838.0
Tennessee,2019,43.0,9931.0
Texas,2019,22.0,7240.0
Utah,2019,10.0,6391.0
Vermont,2019,14.0,6646.0
Virginia,2019,19.0,6914.0
Washington,2019,5.0,6094.0
West Virginia,2019,50.0,11448.0
Wisconsin,2019,18.0,6800.0
Wyoming,2019,23.0,7412.0
United States,2019,0.0,7447.0
District of Columbia,2019,0.0,8844.0
